Username;Action;Date;Success
juan;SELECT;2024-01-19 04:59:42;YES
;SELECT;2024-01-19 04:59:43;YES
;INSERT;2024-01-19 04:59:51;YES
;SELECT;2024-01-19 04:59:51;YES
;SELECT;2024-01-19 04:59:51;YES
;INSERT;2024-01-19 05:01:09;YES
;SELECT;2024-01-19 05:01:09;YES
;SELECT;2024-01-19 05:01:09;YES
;SELECT;2024-01-19 05:01:25;YES
;SELECT;2024-01-19 05:01:25;YES
;SELECT;2024-01-19 05:01:26;YES
;SELECT;2024-01-19 05:01:26;YES
;SELECT;2024-01-19 05:01:27;YES
;SELECT;2024-01-19 05:01:27;YES
;SELECT;2024-01-19 05:01:27;YES
;SELECT;2024-01-19 05:01:27;YES
;SELECT;2024-01-19 05:01:27;YES
;SELECT;2024-01-19 05:01:27;YES
;SELECT;2024-01-19 05:01:28;YES
;SELECT;2024-01-19 05:01:28;YES
;SELECT;2024-01-19 05:01:31;YES
;SELECT;2024-01-19 05:01:31;YES
;SELECT;2024-01-19 05:01:33;YES
;SELECT;2024-01-19 05:01:33;YES
juan;SELECT;2024-01-19 05:06:46;YES
;SELECT;2024-01-19 05:06:48;YES
;INSERT;2024-01-19 05:07:02;YES
;SELECT;2024-01-19 05:07:02;YES
;SELECT;2024-01-19 05:07:02;YES
juan;SELECT;2024-01-19 05:07:09;YES
;SELECT;2024-01-19 05:07:10;YES
;INSERT;2024-01-19 05:07:32;YES
;SELECT;2024-01-19 05:07:32;YES
;SELECT;2024-01-19 05:07:32;YES
juan;SELECT;2024-01-19 05:17:25;YES
;SELECT;2024-01-19 05:17:26;YES
;SELECT;2024-01-19 05:17:26;YES
;SELECT;2024-01-19 05:17:37;YES
;SELECT;2024-01-19 05:17:37;YES
juan;SELECT;2024-01-22 05:32:46;YES
juan;SELECT;2024-01-22 05:33:10;YES
juan;SELECT;2024-01-22 05:33:46;YES
juan;SELECT;2024-01-22 05:34:07;YES
juan;SELECT;2024-01-22 05:34:23;YES
juan;SELECT;2024-01-22 05:34:41;YES
juan;SELECT;2024-01-22 05:34:51;YES
juan;SELECT;2024-01-22 05:36:38;YES
juan;SELECT;2024-01-22 05:37:05;YES
juan;SELECT;2024-01-22 05:37:56;YES
juan;SELECT;2024-01-22 05:38:05;YES
juan;SELECT;2024-01-22 05:38:17;YES
juan;SELECT;2024-01-22 05:38:24;YES
juan;SELECT;2024-01-22 05:38:38;YES
juan;SELECT;2024-01-22 05:38:49;YES
juan;SELECT;2024-01-22 05:39:01;YES
juan;SELECT;2024-01-22 05:39:12;YES
juan;SELECT;2024-01-22 05:39:25;YES
;SELECT;2024-01-22 05:39:33;YES
juan;SELECT;2024-01-22 05:39:39;YES
;SELECT;2024-01-22 05:39:49;YES
;SELECT;2024-01-22 05:39:49;YES
juan;SELECT;2024-01-22 05:40:37;YES
;SELECT;2024-01-22 05:40:40;YES
;INSERT;2024-01-22 05:40:50;YES
;SELECT;2024-01-22 05:40:50;YES
;SELECT;2024-01-22 05:40:50;YES
;DELETE;2024-01-22 05:40:57;YES
;SELECT;2024-01-22 05:40:57;YES
;SELECT;2024-01-22 05:40:57;YES
;DELETE;2024-01-22 05:40:59;YES
;SELECT;2024-01-22 05:40:59;YES
;SELECT;2024-01-22 05:40:59;YES
;DELETE;2024-01-22 05:41:02;YES
;SELECT;2024-01-22 05:41:02;YES
;SELECT;2024-01-22 05:41:02;YES
;DELETE;2024-01-22 05:41:05;YES
;SELECT;2024-01-22 05:41:05;YES
;SELECT;2024-01-22 05:41:05;YES
;SELECT;2024-01-22 05:42:40;YES
;SELECT;2024-01-22 05:42:40;YES
;DELETE;2024-01-22 05:42:45;YES
;SELECT;2024-01-22 05:42:45;YES
;SELECT;2024-01-22 05:42:45;YES
juan;SELECT;2024-01-22 05:48:03;YES
;SELECT;2024-01-22 05:48:07;YES
juan;SELECT;2024-01-22 05:54:53;YES
;SELECT;2024-01-22 05:54:55;YES
juan;SELECT;2024-01-22 05:59:35;YES
;SELECT;2024-01-22 05:59:37;YES
juan;SELECT;2024-01-22 06:55:02;YES
juan;SELECT;2024-01-22 06:58:14;NO
juan;SELECT;2024-01-22 06:59:06;NO
juan;SELECT;2024-01-22 07:00:25;NO
juan;SELECT;2024-01-22 07:00:51;NO
juan;SELECT;2024-01-22 07:03:17;NO
juan;SELECT;2024-01-22 07:03:35;NO
juan;SELECT;2024-01-22 07:03:53;NO
juan;SELECT;2024-01-22 07:04:20;YES
;SELECT;2024-01-22 07:04:22;YES
;SELECT;2024-01-22 07:04:22;YES
juan;SELECT;2024-01-22 07:04:29;YES
;SELECT;2024-01-22 07:04:30;YES
juan;SELECT;2024-01-22 07:04:32;YES
;SELECT;2024-01-22 07:04:33;YES
juan;SELECT;2024-01-22 07:23:12;YES
;SELECT;2024-01-22 07:23:19;YES
;SELECT;2024-01-22 07:23:19;YES
juan;SELECT;2024-01-22 07:23:21;YES
;SELECT;2024-01-22 07:23:22;YES
;SELECT;2024-01-22 07:23:22;YES
juan;SELECT;2024-01-22 07:23:41;NO
juan;SELECT;2024-01-22 07:35:21;NO
juan;SELECT;2024-01-22 07:35:35;YES
;SELECT;2024-01-22 07:35:38;YES
juan;SELECT;2024-01-22 07:35:39;YES
